DATE,ATM,Cash
40071,ATM2,78
40072,ATM1,79
40072,ATM2,25
40073,ATM1,13
40073,ATM2,8
40074,ATM1,112
40074,ATM2,113
40075,ATM1,99
40075,ATM2,71
40076,ATM1,140
40076,ATM2,94
40077,ATM1,110
40077,ATM2,59
40078,ATM1,180
40078,ATM2,89
40079,ATM1,73
40079,ATM2,18
40080,ATM1,7
40080,ATM2,6
40081,ATM1,106
40081,ATM2,115
40082,ATM1,103
40082,ATM2,81
40083,ATM1,93
40083,ATM2,61
40084,ATM1,96
40084,ATM2,71
40085,ATM1,117
40085,ATM2,69
40086,ATM1,80
40086,ATM2,36
40087,ATM1,14
40087,ATM2,14
40088,ATM1,120
40088,ATM2,104
40089,ATM1,91
40089,ATM2,73
40090,ATM1,96
40090,ATM2,86
40091,ATM1,74
40091,ATM2,85
40092,ATM1,108
40092,ATM2,126
40093,ATM1,73
40093,ATM2,31
40094,ATM1,13
40094,ATM2,9
40095,ATM1,93
40095,ATM2,114
40096,ATM1,94
40096,ATM2,78
40097,ATM1,76
40097,ATM2,45
40098,ATM1,111
40098,ATM2,60
40099,ATM1,88
40099,ATM2,91
40100,ATM1,76
40100,ATM2,22
40101,ATM1,9
40101,ATM2,7
40102,ATM1,87
40102,ATM2,75
40103,ATM1,105
40103,ATM2,66
40104,ATM1,78
40104,ATM2,64
40105,ATM1,67
40105,ATM2,51
40106,ATM1,90
40106,ATM2,94
40107,ATM1,68
40107,ATM2,23
40108,ATM1,9
40108,ATM2,4
40109,ATM1,78
40109,ATM2,127
40110,ATM1,74
40110,ATM2,61
40111,ATM1,74
40111,ATM2,0
40112,ATM1,60
40112,ATM2,95
40113,ATM1,75
40113,ATM2,79
40114,ATM1,61
40114,ATM2,38
40115,ATM1,9
40115,ATM2,8
40116,ATM1,90
40116,ATM2,119
40117,ATM1,86
40117,ATM2,57
40118,ATM1,86
40118,ATM2,58
40119,ATM1,79
40119,ATM2,80
40120,ATM1,90
40120,ATM2,82
40121,ATM1,80
40121,ATM2,49
40122,ATM1,21
40122,ATM2,16
40123,ATM1,93
40123,ATM2,116
40124,ATM1,104
40124,ATM2,61
40125,ATM1,109
40125,ATM2,59
40126,ATM1,88
40126,ATM2,80
40127,ATM1,96
40127,ATM2,86
40128,ATM1,70
40128,ATM2,23
40129,ATM1,15
40129,ATM2,7
40130,ATM1,73
40130,ATM2,91
40131,ATM1,94
40131,ATM2,57
40132,ATM1,108
40132,ATM2,58
40133,ATM1,73
40133,ATM2,61
40134,ATM1,87
40134,ATM2,77
40135,ATM1,75
40135,ATM2,20
40136,ATM1,10
40136,ATM2,5
40137,ATM1,92
40137,ATM2,132
40138,ATM1,87
40138,ATM2,49
40139,ATM1,74
40139,ATM2,57
40140,ATM1,73
40140,ATM2,68
40141,ATM1,93
40141,ATM2,80
40142,ATM1,66
40142,ATM2,31
40143,ATM1,18
40143,ATM2,3
40144,ATM1,99
40144,ATM2,85
40145,ATM1,94
40145,ATM2,53
40146,ATM1,136
40146,ATM2,46
40147,ATM1,6
40147,ATM2,2
40148,ATM1,140
40148,ATM2,113
40149,ATM1,73
40149,ATM2,22
40150,ATM1,9
40150,ATM2,5
40151,ATM1,140
40151,ATM2,112
40152,ATM1,103
40152,ATM2,59
40153,ATM1,110
40153,ATM2,72
40154,ATM1,90
40154,ATM2,77
40155,ATM1,135
40155,ATM2,85
40156,ATM1,67
40156,ATM2,27
40157,ATM1,12
40157,ATM2,1
40158,ATM1,109
40158,ATM2,91
40159,ATM1,84
40159,ATM2,36
40160,ATM1,92
40160,ATM2,46
40161,ATM1,84
40161,ATM2,100
40162,ATM1,118
40162,ATM2,73
40163,ATM1,68
40163,ATM2,22
40164,ATM1,14
40164,ATM2,9
40165,ATM1,90
40165,ATM2,117
40166,ATM1,92
40166,ATM2,44
40167,ATM1,93
40167,ATM2,44
40168,ATM1,85
40168,ATM2,78
40169,ATM1,93
40169,ATM2,89
40170,ATM1,70
40170,ATM2,33
40171,ATM1,13
40171,ATM2,5
40172,ATM1,90
40172,ATM2,102
40173,ATM1,91
40173,ATM2,68
40174,ATM1,102
40174,ATM2,64
40175,ATM1,97
40175,ATM2,81
40176,ATM1,42
40176,ATM2,9
40177,ATM1,2
40177,ATM2,2
40178,ATM1,14
40178,ATM2,2
40179,ATM1,132
40179,ATM2,117
40180,ATM1,108
40180,ATM2,56
40181,ATM1,120
40181,ATM2,55
40182,ATM1,120
40182,ATM2,112
40183,ATM1,90
40183,ATM2,100
40184,ATM1,48
40184,ATM2,17
40185,ATM1,15
40185,ATM2,7
40186,ATM1,86
40186,ATM2,49
40187,ATM1,109
40187,ATM2,96
40188,ATM1,115
40188,ATM2,47
40189,ATM1,123
40189,ATM2,107
40190,ATM1,123
40190,ATM2,93
40191,ATM1,60
40191,ATM2,27
40192,ATM1,22
40192,ATM2,9
40193,ATM1,81
40193,ATM2,78
40194,ATM1,98
40194,ATM2,47
40195,ATM1,94
40195,ATM2,31
40196,ATM1,76
40196,ATM2,91
40197,ATM1,96
40197,ATM2,77
40198,ATM1,72
40198,ATM2,22
40199,ATM1,12
40199,ATM2,1
40200,ATM1,91
40200,ATM2,125
40201,ATM1,74
40201,ATM2,53
40202,ATM1,104
40202,ATM2,37
40203,ATM1,74
40203,ATM2,69
40204,ATM1,91
40204,ATM2,69
40205,ATM1,66
40205,ATM2,16
40206,ATM1,28
40206,ATM2,2
40207,ATM1,152
40207,ATM2,95
40208,ATM1,97
40208,ATM2,45
40209,ATM1,100
40209,ATM2,61
40210,ATM1,85
40210,ATM2,71
40211,ATM1,123
40211,ATM2,91
40212,ATM1,46
40212,ATM2,28
40213,ATM1,38
40213,ATM2,9
40214,ATM1,138
40214,ATM2,97
40215,ATM1,74
40215,ATM2,60
40216,ATM1,85
40216,ATM2,27
40217,ATM1,78
40217,ATM2,74
40218,ATM1,123
40218,ATM2,45
40219,ATM1,50
40219,ATM2,26
40220,ATM1,28
40220,ATM2,2
40221,ATM1,105
40221,ATM2,73
40222,ATM1,109
40222,ATM2,48
40223,ATM1,26
40223,ATM2,9
40224,ATM1,54
40224,ATM2,25
40225,ATM1,105
40225,ATM2,58
40226,ATM1,179
40226,ATM2,110
40227,ATM1,125
40227,ATM2,94
40228,ATM1,84
40228,ATM2,25
40229,ATM1,99
40229,ATM2,101
40230,ATM1,110
40230,ATM2,77
40231,ATM1,80
40231,ATM2,6
40232,ATM1,1
40232,ATM2,3
40233,ATM1,111
40233,ATM2,99
40234,ATM1,115
40234,ATM2,86
40235,ATM1,108
40235,ATM2,20
40236,ATM1,100
40236,ATM2,72
40237,ATM1,152
40237,ATM2,81
40238,ATM1,90
40238,ATM2,16
40239,ATM1,4
40239,ATM2,2
40240,ATM1,128
40240,ATM2,110
40241,ATM1,87
40241,ATM2,75
40242,ATM1,84
40242,ATM2,35
40243,ATM1,69
40243,ATM2,102
40244,ATM1,112
40244,ATM2,100
40245,ATM1,62
40245,ATM2,9
40246,ATM1,4
40246,ATM2,2
40247,ATM1,94
40247,ATM2,100
40248,ATM1,102
40248,ATM2,85
40249,ATM1,98
40249,ATM2,33
40250,ATM1,88
40250,ATM2,24
40251,ATM1,123
40251,ATM2,111
40252,ATM1,55
40252,ATM2,5
40253,ATM1,4
40253,ATM2,1
40254,ATM1,92
40254,ATM2,106
40255,ATM1,88
40255,ATM2,102
40256,ATM1,92
40256,ATM2,25
40257,ATM1,92
40257,ATM2,64
40258,ATM1,117
40258,ATM2,78
40259,ATM1,73
40259,ATM2,5
40260,ATM1,3
40260,ATM2,1
40261,ATM1,85
40261,ATM2,83
40262,ATM1,88
40262,ATM2,78
40263,ATM1,76
40263,ATM2,66
40264,ATM1,93
40264,ATM2,15
40265,ATM1,116
40265,ATM2,64
40266,ATM1,68
40266,ATM2,3
40267,ATM1,19
40267,ATM2,0
40268,ATM1,127
40268,ATM2,102
40269,ATM1,93
40269,ATM2,99
40270,ATM1,97
40270,ATM2,41
40271,ATM1,102
40271,ATM2,79
40272,ATM1,109
40272,ATM2,71
40273,ATM1,68
40273,ATM2,9
40274,ATM1,4
40274,ATM2,2
40275,ATM1,105
40275,ATM2,103
40276,ATM1,79
40276,ATM2,67
40277,ATM1,90
40277,ATM2,85
40278,ATM1,87
40278,ATM2,78
40279,ATM1,92
40279,ATM2,67
40280,ATM1,63
40280,ATM2,12
40281,ATM1,3
40281,ATM2,1
40282,ATM1,103
40282,ATM2,97
40283,ATM1,80
40283,ATM2,106
40284,ATM1,80
40284,ATM2,74
40285,ATM1,84
40285,ATM2,86
40286,ATM1,81
40286,ATM2,55
40287,ATM1,88
40287,ATM2,13
40288,ATM1,3
40288,ATM2,1
40289,ATM1,100
40289,ATM2,100
40290,ATM1,69
40290,ATM2,103
40291,ATM1,85
40291,ATM2,44
40292,ATM1,85
40292,ATM2,61
40293,ATM1,109
40293,ATM2,89
40294,ATM1,74
40294,ATM2,11
40295,ATM1,4
40295,ATM2,2
40296,ATM1,96
40296,ATM2,107
40297,ATM1,82
40297,ATM2,89
40298,ATM1,85
40298,ATM2,90
40299,,
40300,,
40301,,
40302,,
40303,,
40304,,
40305,,
40306,,
40307,,
40308,,
40309,,
40310,,
40311,,
40312,,
39934,ATM3,0
39935,ATM3,0
39936,ATM3,0
39937,ATM3,0
39938,ATM3,0
39939,ATM3,0
39940,ATM3,0
39941,ATM3,0
39942,ATM3,0
39943,ATM3,0
39944,ATM3,0
39945,ATM3,0
39946,ATM3,0
39947,ATM3,0
39948,ATM3,0
39949,ATM3,0
39950,ATM3,0
39951,ATM3,0
39952,ATM3,0
39953,ATM3,0
39954,ATM3,0
39955,ATM3,0
39956,ATM3,0
39957,ATM3,0
39958,ATM3,0
39959,ATM3,0
39960,ATM3,0
39961,ATM3,0
39962,ATM3,0
39963,ATM3,0
39964,ATM3,0
39965,ATM3,0
39966,ATM3,0
39967,ATM3,0
39968,ATM3,0
39969,ATM3,0
39970,ATM3,0
39971,ATM3,0
39972,ATM3,0
39973,ATM3,0
39974,ATM3,0
39975,ATM3,0
39976,ATM3,0
39977,ATM3,0
39978,ATM3,0
39979,ATM3,0
39980,ATM3,0
39981,ATM3,0
39982,ATM3,0
39983,ATM3,0
39984,ATM3,0
39985,ATM3,0
39986,ATM3,0
39987,ATM3,0
39988,ATM3,0
39989,ATM3,0
39990,ATM3,0
39991,ATM3,0
39992,ATM3,0
39993,ATM3,0
39994,ATM3,0
39995,ATM3,0
39996,ATM3,0
39997,ATM3,0
39998,ATM3,0
39999,ATM3,0
40000,ATM3,0
40001,ATM3,0
40002,ATM3,0
40003,ATM3,0
40004,ATM3,0
40005,ATM3,0
40006,ATM3,0
40007,ATM3,0
40008,ATM3,0
40009,ATM3,0
40010,ATM3,0
40011,ATM3,0
40012,ATM3,0
40013,ATM3,0
40014,ATM3,0
40015,ATM3,0
40016,ATM3,0
40017,ATM3,0
40018,ATM3,0
40019,ATM3,0
40020,ATM3,0
40021,ATM3,0
40022,ATM3,0
40023,ATM3,0
40024,ATM3,0
40025,ATM3,0
40026,ATM3,0
40027,ATM3,0
40028,ATM3,0
40029,ATM3,0
40030,ATM3,0
40031,ATM3,0
40032,ATM3,0
40033,ATM3,0
40034,ATM3,0
40035,ATM3,0
40036,ATM3,0
40037,ATM3,0
40038,ATM3,0
40039,ATM3,0
40040,ATM3,0
40041,ATM3,0
40042,ATM3,0
40043,ATM3,0
40044,ATM3,0
40045,ATM3,0
40046,ATM3,0
40047,ATM3,0
40048,ATM3,0
40049,ATM3,0
40050,ATM3,0
40051,ATM3,0
40052,ATM3,0
40053,ATM3,0
40054,ATM3,0
40055,ATM3,0
40056,ATM3,0
40057,ATM3,0
40058,ATM3,0
40059,ATM3,0
40060,ATM3,0
40061,ATM3,0
40062,ATM3,0
40063,ATM3,0
40064,ATM3,0
40065,ATM3,0
40066,ATM3,0
40067,ATM3,0
40068,ATM3,0
40069,ATM3,0
40070,ATM3,0
40071,ATM3,0
40072,ATM3,0
40073,ATM3,0
40074,ATM3,0
40075,ATM3,0
40076,ATM3,0
40077,ATM3,0
40078,ATM3,0
40079,ATM3,0
40080,ATM3,0
40081,ATM3,0
40082,ATM3,0
40083,ATM3,0
40084,ATM3,0
40085,ATM3,0
40086,ATM3,0
40087,ATM3,0
40088,ATM3,0
40089,ATM3,0
40090,ATM3,0
40091,ATM3,0
40092,ATM3,0
40093,ATM3,0
40094,ATM3,0
40095,ATM3,0
40096,ATM3,0
40097,ATM3,0
40098,ATM3,0
40099,ATM3,0
40100,ATM3,0
40101,ATM3,0
40102,ATM3,0
40103,ATM3,0
40104,ATM3,0
40105,ATM3,0
40106,ATM3,0
40107,ATM3,0
40108,ATM3,0
40109,ATM3,0
40110,ATM3,0
40111,ATM3,0
40112,ATM3,0
40113,ATM3,0
40114,ATM3,0
40115,ATM3,0
40116,ATM3,0
40117,ATM3,0
40118,ATM3,0
40119,ATM3,0
40120,ATM3,0
40121,ATM3,0
40122,ATM3,0
40123,ATM3,0
40124,ATM3,0
40125,ATM3,0
40126,ATM3,0
40127,ATM3,0
40128,ATM3,0
40129,ATM3,0
40130,ATM3,0
40131,ATM3,0
40132,ATM3,0
40133,ATM3,0
40134,ATM3,0
40135,ATM3,0
40136,ATM3,0
40137,ATM3,0
40138,ATM3,0
40139,ATM3,0
40140,ATM3,0
40141,ATM3,0
40142,ATM3,0
40143,ATM3,0
40144,ATM3,0
40145,ATM3,0
40146,ATM3,0
40147,ATM3,0
40148,ATM3,0
40149,ATM3,0
40150,ATM3,0
40151,ATM3,0
40152,ATM3,0
40153,ATM3,0
40154,ATM3,0
40155,ATM3,0
40156,ATM3,0
40157,ATM3,0
40158,ATM3,0
40159,ATM3,0
40160,ATM3,0
40161,ATM3,0
40162,ATM3,0
40163,ATM3,0
40164,ATM3,0
40165,ATM3,0
40166,ATM3,0
40167,ATM3,0
40168,ATM3,0
40169,ATM3,0
40170,ATM3,0
40171,ATM3,0
40172,ATM3,0
40173,ATM3,0
40174,ATM3,0
40175,ATM3,0
40176,ATM3,0
40177,ATM3,0
40178,ATM3,0
40179,ATM3,0
40180,ATM3,0
40181,ATM3,0
40182,ATM3,0
40183,ATM3,0
40184,ATM3,0
40185,ATM3,0
40186,ATM3,0
40187,ATM3,0
40188,ATM3,0
40189,ATM3,0
40190,ATM3,0
40191,ATM3,0
40192,ATM3,0
40193,ATM3,0
40194,ATM3,0
40195,ATM3,0
40196,ATM3,0
40197,ATM3,0
40198,ATM3,0
40199,ATM3,0
40200,ATM3,0
40201,ATM3,0
40202,ATM3,0
40203,ATM3,0
40204,ATM3,0
40205,ATM3,0
40206,ATM3,0
40207,ATM3,0
40208,ATM3,0
40209,ATM3,0
40210,ATM3,0
40211,ATM3,0
40212,ATM3,0
40213,ATM3,0
40214,ATM3,0
40215,ATM3,0
40216,ATM3,0
40217,ATM3,0
40218,ATM3,0
40219,ATM3,0
40220,ATM3,0
40221,ATM3,0
40222,ATM3,0
40223,ATM3,0
40224,ATM3,0
40225,ATM3,0
40226,ATM3,0
40227,ATM3,0
40228,ATM3,0
40229,ATM3,0
40230,ATM3,0
40231,ATM3,0
40232,ATM3,0
40233,ATM3,0
40234,ATM3,0
40235,ATM3,0
40236,ATM3,0
40237,ATM3,0
40238,ATM3,0
40239,ATM3,0
40240,ATM3,0
40241,ATM3,0
40242,ATM3,0
40243,ATM3,0
40244,ATM3,0
40245,ATM3,0
40246,ATM3,0
40247,ATM3,0
40248,ATM3,0
40249,ATM3,0
40250,ATM3,0
40251,ATM3,0
40252,ATM3,0
40253,ATM3,0
40254,ATM3,0
40255,ATM3,0
40256,ATM3,0
40257,ATM3,0
40258,ATM3,0
40259,ATM3,0
40260,ATM3,0
40261,ATM3,0
40262,ATM3,0
40263,ATM3,0
40264,ATM3,0
40265,ATM3,0
40266,ATM3,0
40267,ATM3,0
40268,ATM3,0
40269,ATM3,0
40270,ATM3,0
40271,ATM3,0
40272,ATM3,0
40273,ATM3,0
40274,ATM3,0
40275,ATM3,0
40276,ATM3,0
40277,ATM3,0
40278,ATM3,0
40279,ATM3,0
40280,ATM3,0
40281,ATM3,0
40282,ATM3,0
40283,ATM3,0
40284,ATM3,0
40285,ATM3,0
40286,ATM3,0
40287,ATM3,0
40288,ATM3,0
40289,ATM3,0
40290,ATM3,0
40291,ATM3,0
40292,ATM3,0
40293,ATM3,0
40294,ATM3,0
40295,ATM3,0
40296,ATM3,96
40297,ATM3,82
40298,ATM3,85
39934,ATM4,777
39935,ATM4,524
39936,ATM4,793
39937,ATM4,908
39938,ATM4,53
39939,ATM4,52
39940,ATM4,55
39941,ATM4,559
39942,ATM4,904
39943,ATM4,879
39944,ATM4,274
39945,ATM4,396
39946,ATM4,275
39947,ATM4,16
39948,ATM4,852
39949,ATM4,380
39950,ATM4,31
39951,ATM4,492
39952,ATM4,84
39953,ATM4,129
39954,ATM4,14
39955,ATM4,815
39956,ATM4,758
39957,ATM4,601
39958,ATM4,907
39959,ATM4,503
39960,ATM4,88
39961,ATM4,35
39962,ATM4,338
39963,ATM4,5
39964,ATM4,123
39965,ATM4,150
39966,ATM4,721
39967,ATM4,443
39968,ATM4,17
39969,ATM4,15
39970,ATM4,741
39971,ATM4,1058
39972,ATM4,576
39973,ATM4,1484
39974,ATM4,194
39975,ATM4,27
39976,ATM4,1191
39977,ATM4,746
39978,ATM4,1221
39979,ATM4,1022
39980,ATM4,373
39981,ATM4,321
39982,ATM4,92
39983,ATM4,117
39984,ATM4,202
39985,ATM4,524
39986,ATM4,81
39987,ATM4,64
39988,ATM4,91
39989,ATM4,48
39990,ATM4,1026
39991,ATM4,424
39992,ATM4,61
39993,ATM4,540
39994,ATM4,174
39995,ATM4,393
39996,ATM4,42
39997,ATM4,310
39998,ATM4,110
39999,ATM4,682
40000,ATM4,55
40001,ATM4,214
40002,ATM4,738
40003,ATM4,16
40004,ATM4,16
40005,ATM4,1050
40006,ATM4,438
40007,ATM4,547
40008,ATM4,858
40009,ATM4,447
40010,ATM4,95
40011,ATM4,644
40012,ATM4,569
40013,ATM4,705
40014,ATM4,572
40015,ATM4,480
40016,ATM4,419
40017,ATM4,28
40018,ATM4,835
40019,ATM4,911
40020,ATM4,468
40021,ATM4,768
40022,ATM4,1089
40023,ATM4,267
40024,ATM4,7
40025,ATM4,704
40026,ATM4,495
40027,ATM4,143
40028,ATM4,429
40029,ATM4,895
40030,ATM4,610
40031,ATM4,71
40032,ATM4,594
40033,ATM4,342
40034,ATM4,735
40035,ATM4,463
40036,ATM4,1156
40037,ATM4,454
40038,ATM4,283
40039,ATM4,572
40040,ATM4,772
40041,ATM4,260
40042,ATM4,358
40043,ATM4,16
40044,ATM4,334
40045,ATM4,26
40046,ATM4,255
40047,ATM4,357
40048,ATM4,1246
40049,ATM4,917
40050,ATM4,592
40051,ATM4,412
40052,ATM4,83
40053,ATM4,996
40054,ATM4,104
40055,ATM4,1117
40056,ATM4,817
40057,ATM4,914
40058,ATM4,648
40059,ATM4,141
40060,ATM4,1495
40061,ATM4,1301
40062,ATM4,780
40063,ATM4,744
40064,ATM4,200
40065,ATM4,854
40066,ATM4,51
40067,ATM4,7
40068,ATM4,1061
40069,ATM4,715
40070,ATM4,35
40071,ATM4,492
40072,ATM4,343
40073,ATM4,21
40074,ATM4,506
40075,ATM4,97
40076,ATM4,474
40077,ATM4,900
40078,ATM4,1712
40079,ATM4,281
40080,ATM4,26
40081,ATM4,329
40082,ATM4,761
40083,ATM4,629
40084,ATM4,236
40085,ATM4,1195
40086,ATM4,782
40087,ATM4,108
40088,ATM4,847
40089,ATM4,576
40090,ATM4,442
40091,ATM4,319
40092,ATM4,154
40093,ATM4,543
40094,ATM4,124
40095,ATM4,449
40096,ATM4,615
40097,ATM4,219
40098,ATM4,946
40099,ATM4,10
40100,ATM4,696
40101,ATM4,8
40102,ATM4,845
40103,ATM4,213
40104,ATM4,9
40105,ATM4,47
40106,ATM4,30
40107,ATM4,400
40108,ATM4,61
40109,ATM4,428
40110,ATM4,2
40111,ATM4,9
40112,ATM4,50
40113,ATM4,313
40114,ATM4,627
40115,ATM4,6
40116,ATM4,78
40117,ATM4,338
40118,ATM4,212
40119,ATM4,690
40120,ATM4,596
40121,ATM4,65
40122,ATM4,77
40123,ATM4,44
40124,ATM4,964
40125,ATM4,835
40126,ATM4,637
40127,ATM4,927
40128,ATM4,76
40129,ATM4,44
40130,ATM4,621
40131,ATM4,313
40132,ATM4,826
40133,ATM4,414
40134,ATM4,194
40135,ATM4,346
40136,ATM4,32
40137,ATM4,655
40138,ATM4,638
40139,ATM4,15
40140,ATM4,300
40141,ATM4,627
40142,ATM4,601
40143,ATM4,64
40144,ATM4,563
40145,ATM4,317
40146,ATM4,1167
40147,ATM4,47
40148,ATM4,994
40149,ATM4,687
40150,ATM4,71
40151,ATM4,1047
40152,ATM4,1009
40153,ATM4,289
40154,ATM4,592
40155,ATM4,231
40156,ATM4,578
40157,ATM4,70
40158,ATM4,581
40159,ATM4,149
40160,ATM4,404
40161,ATM4,125
40162,ATM4,230
40163,ATM4,19
40164,ATM4,129
40165,ATM4,328
40166,ATM4,532
40167,ATM4,877
40168,ATM4,662
40169,ATM4,301
40170,ATM4,668
40171,ATM4,15
40172,ATM4,660
40173,ATM4,511
40174,ATM4,164
40175,ATM4,748
40176,ATM4,174
40177,ATM4,20
40178,ATM4,101
40179,ATM4,986
40180,ATM4,597
40181,ATM4,468
40182,ATM4,857
40183,ATM4,685
40184,ATM4,382
40185,ATM4,152
40186,ATM4,272
40187,ATM4,135
40188,ATM4,1105
40189,ATM4,292
40190,ATM4,1141
40191,ATM4,141
40192,ATM4,9
40193,ATM4,85
40194,ATM4,67
40195,ATM4,710
40196,ATM4,568
40197,ATM4,487
40198,ATM4,17
40199,ATM4,49
40200,ATM4,357
40201,ATM4,180
40202,ATM4,729
40203,ATM4,261
40204,ATM4,629
40205,ATM4,277
40206,ATM4,41
40207,ATM4,1575
40208,ATM4,670
40209,ATM4,980
40210,ATM4,426
40211,ATM4,153
40212,ATM4,275
40213,ATM4,136
40214,ATM4,454
40215,ATM4,458
40216,ATM4,112
40217,ATM4,418
40218,ATM4,10920
40219,ATM4,42
40220,ATM4,280
40221,ATM4,412
40222,ATM4,853
40223,ATM4,180
40224,ATM4,226
40225,ATM4,989
40226,ATM4,825
